Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1µF 50V","C_0603_1608Metric",40.683000,33.635500,-90.000000,top
"C2","1µF 50V","C_0603_1608Metric",34.833000,34.035500,-90.000000,top
"C3","1µF 50V","C_0603_1608Metric",33.353000,34.035500,-90.000000,top
"C4","1µF 50V","C_0603_1608Metric",30.383000,34.035500,-90.000000,top
"C5","1µF 50V","C_0603_1608Metric",31.883000,34.035500,-90.000000,top
"C6","1µF 50V","C_0603_1608Metric",33.033000,29.635500,90.000000,top
"C7","1µF 50V","C_0603_1608Metric",31.533000,29.635500,90.000000,top
"C8","4.7µF 25V","C_1206_3216Metric",27.658000,27.910500,0.000000,top
"C9","4.7µF 25V","C_1206_3216Metric",33.933000,21.160500,-90.000000,top
"C10","0.1µF 16V","C_0402_1005Metric",32.283000,22.560500,-90.000000,top
"C11","10µF 16V","C_0805_2012Metric",41.893419,11.715284,0.000000,top
"C12","0.1µF 16V","C_0402_1005Metric",39.628000,17.278885,0.000000,top
"C13","1µF 50V","C_0603_1608Metric",19.603000,10.428000,0.000000,top
"C14","10µF 16V","C_0805_2012Metric",17.598000,39.308000,180.000000,top
"C15","0.1µF 16V","C_0402_1005Metric",18.068000,40.748000,180.000000,top
"C16","10µF 16V","C_0805_2012Metric",12.148000,17.398000,90.000000,top
"C17","0.1µF 16V","C_0402_1005Metric",10.668000,18.178000,-90.000000,top
"C18","0.1µF 16V","C_0402_1005Metric",28.528000,7.418000,0.000000,top
"C19","22µF 10V","C_1206_3216Metric",36.068000,14.458000,-90.000000,top
"C20","22µF 10V","C_1206_3216Metric",33.768000,14.458000,-90.000000,top
"D1","SS2040FL","SODFL3618X110N",36.133000,30.410500,0.000000,top
"D2","SS2040FL","SODFL3618X110N",28.583000,31.460500,0.000000,top
"D3","SS2040FL","SODFL3618X110N",24.133000,31.460500,0.000000,top
"D4","IN-PI33TBTPRPGPB","LED_IN-PI33TBTPRPGPB",27.678000,3.938000,90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","GCT_USB4145-03-0230-C_REVA2",39.808001,8.375499,180.000000,top
"J3","Conn_01x06","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",18.588000,46.438000,180.000000,top
"L1","10 uH","L_Bourns-SRN4018",36.083000,26.760500,90.000000,top
"L2","3.9 uH","INDPM5050X400N",39.402000,20.586000,180.000000,top
"Q1","Si1308EDL","SOT-323_SC-70",41.930500,29.810500,-90.000000,top
"Q2","SI2301-TP","SOT95P237X125-3N",31.883000,25.260500,0.000000,top
"R1","0.47Ω 1%","R_1206_3216Metric",39.483000,29.210500,-90.000000,top
"R2","100kΩ","R_0603_1608Metric",44.708000,30.578000,180.000000,top
"R3","5.1kΩ","R_0603_1608Metric",37.658001,11.410500,180.000000,top
"R4","5.1kΩ","R_0603_1608Metric",42.008001,5.325499,0.000000,top
"R5","10kΩ","R_0603_1608Metric",19.603000,11.898000,0.000000,top
"R6","10kΩ","R_0603_1608Metric",13.948000,34.588000,-90.000000,top
"R7","10kΩ","R_0603_1608Metric",21.043000,42.508000,180.000000,top
"R8","10kΩ","R_0603_1608Metric",16.133000,42.473000,0.000000,top
"R9","22Ω","R_0603_1608Metric",20.338000,25.768000,180.000000,top
"R10","22Ω","R_0603_1608Metric",20.338000,24.298000,180.000000,top
"R11","10kΩ","R_0603_1608Metric",20.338000,28.608000,0.000000,top
"R12","10kΩ","R_0603_1608Metric",29.183000,25.235500,90.000000,top
"R13","1kΩ","R_0603_1608Metric",15.448000,17.578000,-90.000000,top
"R14","22Ω","R_0603_1608Metric",24.938000,4.963000,90.000000,top
"SW1","2-1437565-8","SW_2-1437565-8",16.248000,6.448000,180.000000,top
"SW2","2-1437565-8","SW_2-1437565-8",7.375500,35.958000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",39.008001,3.525499,-90.000000,top
"U2","SN74AHCT1G125DBVR","SOT95P280X145-5N",25.888000,8.548000,-90.000000,top
"U3","AP63203WU","TSOT-23-6",40.428000,14.741385,90.000000,top
"U4","ESP32-C6-MINI-1/U","ESP32-C6-MINI-1",10.363000,25.898000,90.000000,top
